scientificname,commonname,taxGroup,stockid
Pseudotolithus elongatus,Bobo croaker,other marine percoidids,BCROAKWASG1
Beryx spp,Beryx spp,other marine fish,BERYXSPPNEATL
Macruronus novaezelandiae,Blue grenadier,gadids,BGRDRNSWWA
Sebastes melanostomus,Blackgill rockfish,sebastids,BGROCKPCOAST
Brachydeuterus auritus,Bigeye grunt,other marine percoidids,BGRUNTWASG2
Merluccius polli,Benguela hake,gadids,BHAKEWASG3
Sphyrna tiburo,Bonnethead shark,elasmobranchs,BHEADSHARATL
Thunnus obesus,Bigeye tuna,tuna-billfish,BIGEYEATL
Centroberyx gerrardi,Bight redfish,other marine fish,BIGHTREDSE
Raja binoculata,Big skate,elasmobranchs,BIGSKA3CD
Trachurus picturatus,Blue jack mackerel,carangids-mackerels,BJMACKXa2
